Expérimentateur;Bande de fréquences;Fréquences attribuées (limite basse);Fréquences attribuées (limite haute);Numéro de la décision d'autorisation de l'Arcep;Lien de la décision d'autorisation de l'Arcep;Latitude;Longitude;Code INSEE;Commune;Département;Région;Début;Fin;Description;Techno - Massive MIMO;Techno - Beamforming/beamtracking;Techno - Duplexage temporel (mode TDD);Techno - Mode de fonctionnement NSA (Non Stand Alone);Techno - Mode de fonctionnement SA (Stand Alone);Techno - Synchronisation de réseaux;Techno - Network slicing;Techno - Small cells;Techno - Accès dynamique au spectre;Techno - 5G, 6G…;Usage - Mobilité connectée;Usage - Internet des objets;Usage - Ville intelligente;Usage - Réalité virtuelle;Usage - Télémédecine;Usage - Industrie du futur;Usage - Autre
SNCF;3,8 GHz;3900;4000;2024-0137;https://www.arcep.fr/uploads/tx_gsavis/24-0137.pdf;48,6192222222222;7,74827777777778;67043;Bischheim;Bas-Rhin;Grand Est;2024-01-31;2027-01-30;Mise en place d’une expérimentation de réseau privé mobile 5G dans un technicentre industriel SNCF pour des cas d’usages de pilotage en temps réel et géolocalisations de machines et automatisation de transports logistiques via des AGV (Automatic Guided Vehicle) et AMR (Autonomous Mobile Robots). Le but de l’expérimentation est de mettre en évidence des cas d’usages apportant des gains de productivité au site.;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1
SNCF;2,6 GHz TDD;2595;2615;2024-0138;https://www.arcep.fr/uploads/tx_gsavis/24-0138.pdf;48,6193416666667;7,74923055555556;67043;Bischheim;Bas-Rhin;Grand Est;2024-01-31;2027-01-30;Mise en place d’une expérimentation de réseau privé mobile 5G dans un technicentre industriel SNCF pour des cas d’usages de pilotage en temps réel et géolocalisations de machines et automatisation de transports logistiques via des AGV (Automatic Guided Vehicle) et AMR (Autonomous Mobile Robots). Le but de l’expérimentation est de mettre en évidence des cas d’usages apportant des gains de productivité au site.;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1
AIRBUS Defence & Space;26 GHz;26500;27300;2024-0345;https://www.arcep.fr/uploads/tx_gsavis/24-0345.pdf;48,7983333333333;1,97;78208;Élancourt;Yvelines;Île-de-France;2024-04-01;2026-12-31;Dans le cadre de ses activités de Recherche & Développement sur la 5G, Airbus Defence and Space (ADS) teste une solution de communication longue portée permettant le déploiement rapide d’un réseau de communication critique (Forces de l’Ordre, Secours, Sécurité Civile, …).;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
B-COM;3,8 GHz;3900;4000;2024-0618;https://www.arcep.fr/uploads/tx_gsavis/24-0618.pdf;48,1357639;-1,6231722;22113;Lannion;Côtes-d'Armor;Bretagne;2023-03-30;2026-03-29;Plateforme d'expérimentation 5G, dédiée à des expérimentations techniques pour les solutions développées par B-Com et à destination des verticaux.;0;0;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0
Obvios;2,6 GHz TDD;2575;2595;2024-0945;https://www.arcep.fr/uploads/tx_gsavis/24-0945.pdf;48,7537222222222;-3,44725;22113;Lannion;Côtes-d'Armor;Bretagne;2024-04-22;2027-04-21;Expérimenation dans le cadre du projet « Smart Water Network » visant à développer et expérimenter une nouvelle solution de traitement des données s’appuyant sur les bénéfices de la 5G pour la gestion dynamique des réseaux d’eau. Une telle technologie permettrait ainsi une détection accrue des fuites afin de réduire le gaspillage d’eau potable, ou d’éviter une infection des sols par des eaux usées.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1
Obvios;2,6 GHz TDD;2575;2595;2024-0945;https://www.arcep.fr/uploads/tx_gsavis/24-0945.pdf;48,1359166666667;-1,62325;35051;Cesson-Sévigné;Ille-et-Vilaine;Bretagne;2024-04-22;2027-04-21;Expérimenation dans le cadre du projet « Smart Water Network » visant à développer et expérimenter une nouvelle solution de traitement des données s’appuyant sur les bénéfices de la 5G pour la gestion dynamique des réseaux d’eau. Une telle technologie permettrait ainsi une détection accrue des fuites afin de réduire le gaspillage d’eau potable, ou d’éviter une infection des sols par des eaux usées.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1
Schneider Electric;3,8 GHz;3900;4000;2024-0624;https://www.arcep.fr/uploads/tx_gsavis/24-0624.pdf;45,20388888888889;5,709722222222222;38185;Grenoble;Isère;Auvergne-Rhône-Alpes;2024-03-12;2026-03-11;Test de performances de réseau sur des cas d’usages industriels : échanges de données entre machines, pilotage à distance. Test du Hand Over.;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0
IMT Nord Europe;3,8 GHz;3900;4000;2024-0783;https://www.arcep.fr/uploads/tx_gsavis/24-0783.pdf;50,386944444444445;3,0836111111111113;59178;Douai;Nord;Hauts-de-France;2024-04-22;2025-12-31;Développement de communications de type véhicule à véhicule ou à infrastructure. Le but de cette expérimentation est de tester des solutions d’échange d’informations en temps réel afin de mieux percevoir l’environnement et d’améliorer la sécurité sur un réseau 5G-NR privé en bande n°77.;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0
Paris la Défense;26 GHz;26500;27300;2024-0777;https://www.arcep.fr/uploads/tx_gsavis/24-0777.pdf;48,8929416666667;2,23668333333333;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2024-04-04;2026-04-03;La plateforme d’expérimentation 5G permettra à Paris La Défense et ses partenaires, d’expérimenter des usages inédits dans l’environnement urbain très dense du premier quartier d’affaires d’Europe. Ce dispositif devra permettre d’anticiper des scénarii de déploiement de la 5G, d'expérimenter des cas d’usages jugés stratégiques et de tester la faisabilité et la viabilité d’un nouveau modèle : un schéma d’opérateur neutre, installant des antennes dans les bâtiments ou mobiliers urbains et commercialisant un accès clé en main aux opérateurs qui viendraient y apporter leur réseau.;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1
Team Henry Fabre;3,8 GHz;3800;3900;2024-1043;https://www.arcep.fr/uploads/tx_gsavis/24-1043.pdf;43,40383333333333;5,205277777777778;13054;Marignane;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-05-02;2027-05-01;L'espérimentation permettra d'accompagner les PMI/ETI à découvrir et implémenter les opportunités de la 5G dans leur propre process, la TEAM Henri-Fabre met à disposition un réseau 5G privé au technocentre de Marignane.;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
Thales;2,6 GHz TDD;2575;2615;2024-1141;https://www.arcep.fr/uploads/tx_gsavis/24-1141.pdf;47,07780555555556;-0,8721944444444445;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-05-21;2026-12-31;L'expérimentation consiste à tester dans des conditions réelles et à grande échelle l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0
Thales;3,8 GHz;3900;4000;2024-1142;https://www.arcep.fr/uploads/tx_gsavis/24-1142.pdf;47,07669444444445;-0,8706111111111111;49099;Cholet;Maine-et-Loire;Pays de la Loire;2024-05-22;2026-12-31;L'expérimentation consiste à tester dans des conditions réelles et à grande échelle l’usage d’un réseau très haut débit permettant d’améliorer la performance industrielle ainsi que d’explorer les usages de l’industrie du futur;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0
Luceor;3,8 GHz;3900;4000;2024-1157;https://www.arcep.fr/uploads/tx_gsavis/24-1157.pdf;49,47944444444445;0,1676388888888889;76351;Le Havre;Seine-Maritime;Normandie;2024-05-22;2027-05-21;L'expérimentation consiste à tester des cas d'usage liés à la manutention portuaire;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0
CNES;2,6 GHz TDD;2575;2615;2024-1762;https://www.arcep.fr/uploads/tx_gsavis/24-1762.pdf;5,171291;-52,680494;97304;Kourou;Guyane;Guyane;2024-09-01;2025-08-31;Le CSG et Axians expérimentent les usages de la 5G privée dans le cadre de la transformation numérique du CNES. Axians installe et forme le CNES sur un réseau 5G privé et ses services comme les comm. critiques, la liaison téléphonie, la remontée des alarmes;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
SNCF;2,6 GHz TDD;2595;2615;2024-1158;https://www.arcep.fr/uploads/tx_gsavis/24-1158.pdf;48,105000000000004;-1,636388888888889;35238;Rennes;Ille-et-Vilaine;Bretagne;2024-05-22;2027-05-21;Expérimentation dans le cadre de nouveaux cas d'usage;1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0
Eurecom;2,6 GHz TDD;2575;2615;2024-1415;https://www.arcep.fr/uploads/tx_gsavis/24-1415.pdf;43,61416666666667;7,07111111111111;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-20;2026-06-19;Expérimentation dans le cadre de nouveaux cas d'usage - Site d’expérimentation Européen pour les technologies cellulaires 5G/6G;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0
Eurecom;3,8 GHz;3900;4000;2024-1159;https://www.arcep.fr/uploads/tx_gsavis/24-1159.pdf;43,61416666666667;7,07111111111111;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-01;2026-05-31;Expérimentation dans le cadre de nouveaux cas d'usage - Site d’expérimentation Européen pour les technologies cellulaires 5G/6G;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0
Firecell;3,8 GHz;3800;3900;2024-1413;https://www.arcep.fr/uploads/tx_gsavis/24-1413.pdf;43,61416666666667;7,07083333333333;06018;Biot;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;2024-06-20;2027-06-19;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
ArcelorMittal France;2,6 GHz TDD;2575;2585;2024-1229;https://www.arcep.fr/uploads/tx_gsavis/24-1229.pdf;43,43194444444444;4,89722222222222;13039;Fos-sur-Mer;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-05-31;2027-05-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Excelcar;3,8 GHz;3900;4000;2024-1316;https://www.arcep.fr/uploads/tx_gsavis/24-1316.pdf;48,05916666666666;-0,7127777777777777;35066;Chartres-de-Bretagne;Ille-et-Vilaine;Bretagne;2024-06-10;2027-06-09;Le Campus GO>5GI EXCELCAR a pour objectif d’accélérer la transformation numérique de l’industrie. De nombreux cas d’usages, de l’opérateur au robot connecté, vont être développés et qualifiés sur la Plateforme en conditions industrielles réelles.;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0
Obvios;3,8 GHz;3800;3900;2024-1632;https://www.arcep.fr/uploads/tx_gsavis/24-1632.pdf;48,120555555555555;-1,6247222222222222;35051;Cesson-Sévigné;Ille-et-Vilaine;Bretagne;2024-09-01;2027-08-31;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Airbus Atlantic;3,8 GHz;3900;4000;2024-1910;https://www.arcep.fr/uploads/tx_gsavis/24-1910.pdf;49,98444444444444;2,6777777777777776;80523;Méaulte;Somme;Hauts-de-France;2024-09-01;2025-09-01;L'objectif de cette expérimentation est de déployer un réseau 5G privatif capable de localiser les outils avec une précision inférieure à 1m, tout en permettant d'écouler le traffic sans fil critique d'Airbus Atlantic,;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Selecom critical comms;3,8 GHz;3900;4000;2024-2014;https://www.arcep.fr/uploads/tx_gsavis/24-2014.pdf;42,62269444444445;2,443277777777778;66149;Prades;Pyrénées-Orientales;Occitanie;2024-09-09;2026-12-31;le groupe SEE CRITICAL COMMS a besoin de tester ses produits et solutions avec les objectifs suivants : Tester et qualifier les répéteurs 5G développés par le groupe ainsi que leurs antennes associées. Ces produits seront proposés aux intégrateurs et intégrés dans des réseaux destinés aux entreprises et aux collectivités. - Mettre en place un banc de tests 5G privé en N77 pour évaluer les nouvelles solutions applicatives développées par le groupe, répondant ainsi aux besoins de leurs clients, principalement pour des bulles tactiques.;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;0
Luceor;3,8 GHz;3900;4000;2024-2003;https://www.arcep.fr/uploads/tx_gsavis/24-2003.pdf;43,41008333333333;4,845416666666666;13039;Fos-sur-Mer;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-09-06;2027-09-05;LUCEOR et son partenaire EUROFOS ambitionnent de couvrir le Port en réseau cellulaire de type 5G privée. L’enjeu est d’expérimenter le remplacement des réseaux existants jugés trop limités et trop coûteux. À la place, le personnel seraient tous dotés d’un terminal de type smartphone durci capable de recevoir et d’émettre tous types de communication, mais aussi de s’interfacer avec des solutions tierces en cloud. Et les cavaliers seraient dotés d’un système de détection et d’évitement qui réduit très considérablement le risque d’accidents dans les zones d’activité du port.;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
SNCF Réseau;3,8 GHz;3900;4000;2024-2044;https://www.arcep.fr/uploads/tx_gsavis/24-2044.pdf;48,07033333333334;-1,70125;35238;Rennes;Ille-et-Vilaine;Bretagne;2024-09-21;2027-09-20;Expérimentation dans le cadre de la plateforme Living Labs, qui vise à tester des usages liés aux voyageurs et aux expertises SNCF, en gare et en milieu industriel. Le Living Labs 5G a pour objectif d’être une plateforme d’innovation ouverte à des entreprises extérieures pour la mise en place d’expérimentations.;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0
Cogisys;2,6 GHz TDD;2575;2615;2024-2020;https://www.arcep.fr/uploads/tx_gsavis/24-2020.pdf;48,824444444444445;2,265;92040;Issy-les-Moulineaux;Hauts-de-Seine;Île-de-France;2024-10-01;2027-09-30;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0
IMT Nord Europe;3,8 GHz;3900;4000;2024-2597;https://www.arcep.fr/uploads/tx_gsavis/24-2597.pdf;47,38447222222222;0,7306944444444444;37233;Saint-Pierre-des-Corps;Indre-et-Loire;Centre-Val de Loire;2025-01-01;2025-12-31;Le but de cette expérimentation est de tester des solutions d’échange d’informations de véhicule à véhicule ou à infrastructure en temps réel afin de mieux percevoir l’environnement et d’améliorer la sécurité sur un réseau 5G-NR privé en bande n°77;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
Transatel;3,8 GHz;3900;4000;2024-2147;https://www.arcep.fr/uploads/tx_gsavis/24-2147.pdf;48,89111111111111;2,2466666666666666;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2024-10-05;2027-10-05;L’objectif est de mettre en place cette infrastructure début octobre 2024 afin de valider différents cas d’usages autour de la 5G Stand Alone (5G SA), en particulier autour de l’Industrie 4.0, Il s’agira également de pouvoir tester différentes capacités d’hybridation entre réseau mobile privé et réseaux mobiles publics. Les derniers tests d’intérêts seront autour des interconnections roaming entre réseaux publics et privés ainsi que des solutions de eSIM public/privés (QR code d’accès avec fluidification du parcours d’on-boarding) et les SMS offnet;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
Renault;3,8 GHz;3900;4000;2024-2252;https://www.arcep.fr/uploads/tx_gsavis/24-2252.pdf;50,361333333333334;3,0289444444444444;59329;Lambres-lez-Douai;Nord;Hauts-de-France;2024-10-14;2027-10-13;Expérimentation 5G pour l’industrie et le véhicule connectée.;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0
Hub One;3,8 GHz;3900;4000;2024-2148;https://www.arcep.fr/uploads/tx_gsavis/24-2148.pdf;49,009972222222224;2,554305555555555;93073;Tremblay-en-France;Seine-Saint-Denis;Île-de-France;2024-09-30;2027-10-11;Dans le cadre de la journée de l’aéro, Hub One réalise des démonstrations de cas d’usage 5G professionnels pour les milieux aéroportuaires et industriels.;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Airmob Infra Full;3,8 GHz;3800;3900;2024-2251;https://www.arcep.fr/uploads/tx_gsavis/24-2251.pdf;49,25983333333333;1,187138888888889;27701;Val-de-Reuil;Eure;Normandie;2024-10-30;2027-10-29;Expérimentation dans le cadre de nouveaux cas d'usage;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0
MGA Technologies;2,6 GHz TDD;2575;2615;2024-2195;https://www.arcep.fr/uploads/tx_gsavis/24-2195.pdf;45,85447222222222;4,699638888888889;69059;Civrieux-d'Azergues;Rhône;Auvergne-Rhône-Alpes;2024-10-02;2025-10-01;Déploiement d’un réseau privé 5G au sein du nouveau Lab de la société MGA Technologies créateur de machines sur-mesure pour l'industrie du futur. Ce Lab permettra d’expérimenter un réseau 5G en environnement industriel et de développer des prototypes de cas d’usage. Il servira également de showcase pour les clients et promouvra la 5G;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0
EDF;26 GHz;26500;26900;2024-2296;https://www.arcep.fr/uploads/tx_gsavis/24-2296.pdf;48,8973611111111;2,17008333333333;78146;Chatou;Yvelines;Île-de-France;2024-10-15;2027-10-14;Plateforme d’expérimentation d’EDF Lab Chatou qui vise à définir les modalités de migration des réseaux industriels cellulaires privés d’EDF vers la technologie 5G.;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0
Free Pro;3,8 GHz;3900;4000;2024-2565;https://www.arcep.fr/uploads/tx_gsavis/24-2565.pdf;43,36127777777778;5,337638888888889;13055;Marseille;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2024-12-11;2027-11-30;Free Pro mène une expérimentation de réseau privé 5G à Marseille, au sein d’un data center, afin de démontrer l’efficacité de cette technologie dans un environnement exigent et critique. L'objectif principal est de fournir une couverture 5G SA Privée et sécurisée, adaptée aux besoins spécifiques du data center, garantissant ainsi la confidentialité et la résilience des communications tout en évitant les interférences avec les réseaux publics. Ce réseau privé permet de répondre aux exigences de performance en matière de débits et de latence, nécessaires aux opérations sensibles du datacenter;1;0;0;1;1;0;1;1;0;1;1;1;0;1;0;0;0
Orange;3,8 GHz;3900;4000;2024-2634;https://www.arcep.fr/uploads/tx_gsavis/24-2634.pdf;48,7997222222222;2,29416666666667;92020;Châtillon;Hauts-de-Seine;Île-de-France;2024-12-04;2025-12-03;Expérimentation qui vise à tester la mise en oeuvre d’équipements (typiquement panneaux solaires et batteries) et de fonctionnalités au sein de l’environnement technique des sites radio mobiles, afin d’optimiser la consommation d’énergie du réseau électrique et de participer à la flexibilité énergétique.;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
SNCF Réseau;2,6 GHz TDD;2575;2595;2024-2691;https://www.arcep.fr/uploads/tx_gsavis/24-2691.pdf;48,91361111111111;2,3175;93070;Saint-Ouen-sur-Seine;Seine-Saint-Denis;Île-de-France;2024-12-01;2027-12-31;L’objectif du projet est l’expérimentation et la mise en oeuvre de technologies et services numériques souverains pour le futur système de télécommunication mobile ferroviaire (FRMCS) qui sera basé sur la 5G. Il se focalise particulièrement sur les coeurs de réseaux 5G et les services assurant les missions critiques (MCx) ainsi que sur l’hybridation entre 2 coeurs de réseau. L’infra 5G pour les besoins des cas d’usages ferroviaires sera hébergé dans le labo SNCF Réseau à Saint-Ouen.;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
TDF;2,6 GHz TDD;2575;2595;2024-2692;https://www.arcep.fr/uploads/tx_gsavis/24-2692.pdf;48,85827777777778;2,2944999999999998;75056;Paris;Paris;Île-de-France;2024-12-01;2025-12-01;Jusqu'à présent, le centre TDF de la Tour Eiffel ne disposait d'aucune couverture réseau mobile. L’expérimentation visant à équiper le centre d'une solution de téléphonie mobile professionnelle permet de garantir la sécurité des intervenants de TDF via l'applicatif MCPTT(PTI : Protection des travailleurs isolés). Ainsi, elle leur permet également d'être joignables à tout moment et de bénéficier d'un accès à internet et à l'intranet TDF pour télécharger les documents nécessaires à leurs interventions.;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Orange Events;3,8 GHz;3900;4000;2025-0205;https://www.arcep.fr/uploads/tx_gsavis/25-0205.pdf;48,83888888888889;2,3786111111111112;75056;Paris;Paris;Île-de-France;2025-01-31;2026-01-30;Plateforme d’expérimentation de captation vidéo sur réseau 5G SA en vue de fournir des solutions de connectivité mobile pour les grands évènements.;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Orange Events;3,8 GHz;3900;4000;2025-0205;https://www.arcep.fr/uploads/tx_gsavis/25-0205.pdf;48,925;2,359166666666667;93066;Saint-Denis;Seine-Saint-Denis;Île-de-France;2025-05-31;2026-01-30;Plateforme d’expérimentation de captation vidéo sur réseau 5G SA en vue de fournir des solutions de connectivité mobile pour les grands évènements.;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
Orange Events;3,8 GHz;3900;4000;2025-0205;https://www.arcep.fr/uploads/tx_gsavis/25-0205.pdf;48,895833333333336;2,230277777777778;92026;Courbevoie;Hauts-de-Seine;Île-de-France;2025-05-31;2026-01-30;Plateforme d’expérimentation de captation vidéo sur réseau 5G SA en vue de fournir des solutions de connectivité mobile pour les grands évènements.;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
